Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Brave New World,Aldous Huxley,"",9780060929879,paperback,read,2011/04/09,2015/05/27,2015/05/27,1,"",,,,,,,5.0,,"",,"",Yes
Adulthood Is a Gift!,Sarah Andersen,"",9781524890407,paperback,read,2024/10/02,2024/10/02,2024/10/02,1,"",,,,,,,,,"",,"",Yes
The Bluest Eye,Toni Morrison,"",9780307278449,paperback,read,2011/06/25,"","",1,"",,,,,,,3.0,,"",,"",Yes
The School for Good Mothers,Jessamine Chan,"",9781982156145,digital,read,2023/08/17,2023/08/21,2023/08/21,1,"",,,,,,,4.0,,"",,"",Yes
Harry Potter and the Chamber of Secrets,J.K. Rowling,"",0439064864,hardcover,read,2011/04/09,2011/06/01,2011/06/01,4,"",,,,,,,5.0,,"",,"",Yes
Carrie,Stephen King,"",9780385086950,hardcover,read,2011/04/09,"","",1,"",,,,,,,4.0,,"",,"",Yes
Nineteen Eighty-Four,George Orwell,"",0451521234,paperback,read,2014/08/20,2016/10/02,2016/10/02,1,"",,,,,,,4.0,,"",,"",Yes
The Complete SIP (Strangers in Paradise) Kids,Terry Moore,"",9781892597595,paperback,read,2020/07/15,2020/07/15,2020/07/15,1,"",,,,,,,5.0,,"",,"",No
Allegiant,Veronica Roth,"",9780007524273,hardcover,read,2013/11/11,2013/11/11,2013/11/11,1,"",,,,,,,1.0,"If this had been a hardcopy book and not a kindle edition, I'd have thrown it at the wall in disgust.  ""what lies outside the gates"" isn't nearly the revelation it could have been.  It was incredibly boring and I kept waiting for something more.  What I got instead was a ridiculous Russian nesting doll-esque conspiracy storylines that seemed more ridiculous with every 'twist'  <br><br>Roth's big twist ending is certainly against the grain of other dystopian-with-a-feminine-heroine types of fiction but it wasn't satisfying and left me feeling duped.  I had to force myself to continue after that point.<br><br>annoyed I read beyond the first book.  my only excuse is that i was bored and wanted a brainless read.  certainly got that....","",,"",No
Shopaholic & Baby,Sophie Kinsella,"",9780385338707,hardcover,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
Fish!: A Remarkable Way to Boost Morale and Improve Results,"Ken Blanchard, Harry Paul, John Christensen, Stephen C. Lundin","",9780786866021,hardcover,read,2011/04/09,"","",1,"",,,,,,,2.0,,"",,"",Yes
Lady Killers,Tori Telfer,"",9780062433749,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
"Shirley Jackson's ""The Lottery"": The Authorized Graphic Adaptation","Miles Hyman, Shirley Jackson","",9780809066506,paperback,read,2022/05/01,"","",1,"",,,,,,,,,"",,"",Yes
The Catcher in the Rye,J.D. Salinger,"",9780258744468,paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",No
The Rising: The Newsflesh Trilogy,Mira Grant,"",9780316451451,paperback,read,2021/03/26,2018/01/01,2018/01/01,1,"",,,,,,,,,"",,"",Yes
The Boleyn Inheritance,Philippa Gregory,"",9780743298544,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
A Separate Peace,John Knowles,"","",paperback,read,2013/02/22,"","",1,"",,,,,,,3.0,,"",,"",No
Katharine Parr: The Sixth Wife,Alison Weir,"",9781101966631,hardcover,read,2021/02/12,2021/06/09,2021/06/09,2,"",,,,,,,4.0,,"",,"",Yes
Parasite,Mira Grant,"",,,read,2021/04/02,2021/04/05,2021/04/05,1,"",,,,,,,4.0,,"",,"",No
The Vatican Princess: A Novel of Lucrezia Borgia,C.W. Gortner,"",9780345533975,hardcover,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
The 6th Target,James Patterson,Maxine Paetro,9780316014793,hardcover,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",No
The Silence of the Lambs,Thomas Harris,"",9781429957656,digital,read,2013/06/08,2013/06/09,2013/06/09,1,"",,,,,,,3.0,,"",,"",Yes
Innocent Traitor,Alison Weir,"",9780091936761,hardcover,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
"Strangers in Paradise, Volume 19: Ever After",Terry Moore,"",,digital,read,2011/04/10,2025/03/14,2025/03/14,2,"",,,,,,,5.0,,"",,"",Yes
The Kingmaker's Daughter,Philippa Gregory,"",9781451626148,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
Harry Potter and the Order of the Phoenix,J.K. Rowling,Jim Dale (Narrator),B017V4NLJ4,audio,read,2011/06/16,"","",4,"",,,,,,,5.0,,"",,"",No
"Mean Girls Grown Up: Adult Women Who Are Still Queen Bees, Middle Bees, and Afraid-To-Bees",Cheryl Dellasega,"",9780470168752,paperback,paused,2024/07/20,"","",0,"",,,,,,,,,"",,"",Yes
The Walking Dead: Compendium 4,Robert Kirkman,"",9781534313408,paperback,did-not-finish,2025/03/17,"","",0,"",,,,,,,,,"",,"",Yes
The Children of Henry VIII,Alison Weir,"",0345407865,paperback,read,2013/06/21,"","",1,"",,,,,,,5.0,,"",,"",Yes
A Dance with Dragons,George R.R. Martin,"",9780553841121,paperback,read,2014/06/30,2015/05/04,2015/05/04,2,"",,,,,,,4.0,,"",,"",Yes
A Farewell to Arms,Ernest Hemingway,"",9780099910107,paperback,read,2013/02/22,"","",1,"",,,,,,,3.0,,"",,"",No
Alias Grace,Margaret Atwood,"",9780385475716,hardcover,read,2025/03/16,"","",1,"",,,,,,,,,"",,"",Yes
The Giver,Lois Lowry,"",9780544336261,paperback,read,2013/02/17,2014/08/12,2014/08/12,1,"",,,,,,,5.0,,"",,"",Yes
A Storm of Swords,George R.R. Martin,"",055357342X,paperback,read,2014/06/30,2016/05/17,2016/05/17,3,"",,,,,,,5.0,5,"",,"",Yes
The House on Mango Street,Sandra Cisneros,"","",paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
The Witch of Blackbird Pond,Elizabeth George Speare,"","",paperback,read,2014/11/05,2014/11/05,2014/11/05,4,"",,,,,,,4.0,,"",,"",Yes
"Strangers in Paradise, Volume 18: Love & Lies",Terry Moore,"",,digital,read,2011/04/10,2025/03/14,2025/03/14,2,"",,,,,,,5.0,,"",,"",Yes
Jack & Jill,James Patterson,"",9780446692656,paperback,read,2011/06/25,"","",1,"",,,,,,,3.0,,"",,"",Yes
Roses are Red,James Patterson,"",0316693251,digital,read,2011/04/09,2023/09/06,2023/09/06,1,"",,,,,,,3.0,,"",,"",Yes
Catching Fire,Suzanne Collins,"",9780545227247,digital,read,2012/02/19,2025/04/25,"2025/04/24-2025/04/25, 2012/02/20",3,"",,,,,,,5.0,,"",,"",Yes
The Stranger,Albert Camus,Stuart Gilbert (Translator),9780394700021,paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
The Walking Dead: Compendium One,Robert Kirkman,"",8580001039817,paperback,read,2014/03/20,2014/03/20,2014/03/20,1,"",,,,,,,4.0,,"",,"",Yes
The Mirror & the Light,Hilary Mantel,"",9780805096606,hardcover,read,2020/05/03,2020/06/02,2020/06/02,3,"",,,,,,,5.0,,"",,"",Yes
Y: The Last Man - Book Two,Brian K. Vaughan,"",9781401259174,digital,read,2021/09/03,2021/09/04,2021/09/04,1,"",,,,,,,5.0,,"",,"",Yes
Dirty Girls on Top: A Novel,"Alisa Valdes, Alisa Valdes-Rodriguez, Alisa Valdes-Rodriguez","",,digital,read,2014/05/22,"","",2,"",,,,,,,,,"",,"",Yes
Petals on the Wind,V.C. Andrews,"",0671729470,digital,read,2013/10/07,2021/02/03,2021/02/03,1,"",,,,,,,2.0,,"",,"",Yes
"Shadows of Foxworth, Volume 11",V.C. Andrews,"",9781982114442,paperback,read,2025/09/26,2025/09/28,2025/09/25-2025/09/28,1,"",,,,,,,,,"",,"",Yes
The One,Kiera Cass,"","",digital,read,2014/05/06,2014/05/06,2014/05/06,1,"",,,,,,,2.0,,"",,"",Yes
Outlander,Diana Gabaldon,"",9780385302302,hardcover,read,2020/01/04,2022/01/24,2022/01/24,1,"",,,,,,,5.0,,"",,"",Yes
UnDivided,Neal Shusterman,"",9781481409759,hardcover,read,2023/10/25,2023/10/26,2023/10/26,1,"",,,,,,,5.0,,"",,"",Yes
Gone Girl,Gillian Flynn,"",9780297859383,hardcover,read,2014/09/22,2023/09/15,2023/09/15,2,"",,,,,,,5.0,,"",,"",Yes
Dexter in the Dark,Jeff Lindsay,"",9780385518338,hardcover,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
The Handmaid's Tale,Margaret Atwood,"",9781328879943,hardcover,read,2025/03/09,"","",1,"",,,,,,,,,"",,"",Yes
The Boys Omnibus Vol. 2,"Garth Ennis, Darick Robertson","",,paperback,read,2020/09/26,2020/09/26,2020/09/26,2,"",,,,,,,5.0,,"",,"",Yes
Cell,Stephen King,"",9781416524519,paperback,read,2011/04/12,"","",1,"",,,,,,,2.0,,"",,"",No
The Joy Luck Club,Amy Tan,"",9780399134203,hardcover,read,2013/02/22,"","",1,"",,,,,,,5.0,,"",,"",Yes
Dark Places,Gillian Flynn,"",9780307459923,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",No
The Official Preppy Handbook,Lisa Birnbach,"",9780894801402,paperback,read,2011/04/09,"","",3,"",,,,,,,3.0,,"",,"",Yes
The Ballad of Songbirds and Snakes,Suzanne Collins,"",9781546171898,paperback,read,2025/04/04,2025/04/05,2025/04/02-2025/04/05,1,"",,,,,,,,,"",,"",No
The Six Wives of Henry VIII,Alison Weir,"",B008UX8G5A,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
Lady Killers: Deadly Women Throughout History,Tori Telfer,"",9780062433732,paperback,read,2018/05/14,2018/06/18,2018/06/18,1,"",,,,,,,3.0,,"",,"",Yes
Hotel Dare,Terry Blas,Claudia Aguirre (Illustrator),9781684152056,paperback,read,2019/06/29,2019/06/29,2019/06/29,1,"",,,,,,,5.0,,"",,"",Yes
A Tale of Two Cities,Charles Dickens,"",9780553211764,paperback,read,2011/04/09,"","",6,"",,,,,,,5.0,,"",,"",No
Jane Boleyn: The True Story of the Infamous Lady Rochford,Julia Fox,"",9780771047763,,paused,2025/12/18,"","",0,"",,,,,,,,,"",,"",Yes
Rage,Richard Bachman,Stephen King,9780451076458,paperback,read,2012/06/25,2012/06/22,2012/06/22,1,"",,,,,,,3.0,,"",,"",No
"Strangers in Paradise, Volume 13: Flower To Flame",Terry Moore,"",9781892597243,paperback,read,2011/04/10,2025/03/14,2025/03/14-2025/03/14,2,"",,,,,,,5.0,,"",,"",Yes
Parenting With Love and Logic : Teaching Children Responsibility,"Foster W. Cline, Foster W. Cline, Jim Fay","",9780891093114,hardcover,read,2011/04/09,"","",2,"",,,,,,,3.0,,"",,"",Yes
"Isabel: Jewel of Castilla, Spain, 1466",Carolyn Meyer,"",9780439078054,hardcover,read,2012/09/30,2012/09/30,2012/09/30,1,"",,,,,,,3.0,,"",,"",No
Ethan Frome,Edith Wharton,"",9798550430538,paperback,read,2013/02/17,2015/06/10,2015/06/10,1,"",,,,,,,4.0,,"",,"",No
And Then There Were None,Agatha Christie,"",978000812308,paperback,read,2011/04/09,"","",5,"",,,,,,,5.0,,"",,"",Yes
A Wrinkle in Time,Madeleine L'Engle,"",9781250004673,paperback,read,2011/04/09,2012/11/29,2012/11/29,1,"",,,,,,,4.0,,"",,"",No
A History of the English Language,Albert C. Baugh,"",0130151661,,read,2025/03/03,"","",1,"",,,,,,,,,"",,"",Yes
The Great Gatsby,F. Scott Fitzgerald,"",1451689438,paperback,read,2011/04/09,"","",5,"",,,,,,,4.0,,"",,"",No
Brave New World,Aldous Huxley,"",9781998114443,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
D'Aulaires' Book of Greek Myths,"Ingri d'Aulaire, Edgar Parin d'Aulaire","",9780385071086,hardcover,read,2015/08/20,2020/01/18,2020/01/18,1,"",,,,,,,5.0,,"",,"",Yes
Gone Girl,Gillian Flynn,"",B006LSZECO,digital,read,2014/09/22,2023/09/15,2023/09/15,2,"",,,,,,,5.0,,"",,"",Yes
Sleep Donation,Karen Russell,"",9780525566090,digital,read,2020/09/30,2020/10/01,2020/10/01,1,"",,,,,,,,,"",,"",Yes
The Queen's Fool,Philippa Gregory,"",9781416593973,digital,read,2011/06/16,2011/05/20,2011/05/20,1,"",,,,,,,4.0,,"",,"",Yes
Royal Mistress,Anne Easter Smith,"",,,read,2021/02/11,2021/02/14,2021/02/14,1,"",,,,,,,4.0,,"",,"",No
Seeds of Yesterday,V.C. Andrews,"","",paperback,read,2013/10/07,"","",1,"",,,,,,,2.0,,"",,"",No
The Circle,Dave Eggers,"",9780345807298,paperback,read,2017/09/21,"","",1,"",,,,,,,4.0,,"",,"",Yes
Like Water for Chocolate,Laura Esquivel,"",9780385420174,paperback,read,2011/04/09,2016/04/23,2016/04/23,1,"",,,,,,,5.0,,"",,"",Yes
Harry Potter and the Chamber of Secrets,J.K. Rowling,"",9780747538493,hardcover,read,2011/04/09,2011/06/01,2011/06/01,4,"",,,,,,,5.0,,"",,"",Yes
To Kill a Mockingbird,Harper Lee,"",9780060935467,paperback,read,2011/12/22,"","",1,"",,,,,,,4.0,,"",,"",No
The Ballad of Songbirds and Snakes,Suzanne Collins,"",B07V5KKSZT,digital,read,2020/01/19,2020/05/23,2020/05/23,2,"",,,,,,,4.0,,"",,"",Yes
"Mary, Mary",James Patterson,"",9780316159760,hardcover,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
Hamlet,William Shakespeare,"Rex Gibson (Contributor), Richard Andrews (Contributor)","",paperback,read,2013/02/19,"","",1,"",,,,,,,4.0,,"",,"",No
The King's Curse,Philippa Gregory,"",9781451626162,digital,read,2017/09/21,2025/06/08,"2025/06/02-2025/06/08, 2018/07/03",4,"",,,,,,,4.0,,"",,"",Yes
The Last Queen,C.W. Gortner,"",9780345501844,hardcover,read,2011/08/12,2025/02/22,"2025/02/19-2025/02/22, 2013/12/27",2,"",,,,,,,4.0,,"",,"",Yes
Catherine de Medici,Leonie Frieda,"",9780753820391,paperback,read,2023/01/29,2023/01/31,2023/01/31,1,"",,,,,,,3.0,,"",,"",No
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,"",9780449911358,paperback,read,2011/04/09,"","",1,"",,,,,,,4.0,,"",,"",Yes
The Witch of Blackbird Pond,Elizabeth George Speare,"",0440995779,paperback,read,2014/11/05,2014/11/05,2014/11/05,4,"",,,,,,,4.0,,"",,"",Yes
A Rose for the Crown,Anne Easter Smith,Rosalyn Landor (Narrator),"",audio,read,2021/02/15,2021/02/19,2021/02/19,1,"",,,,,,,4.0,,"",,"",No
Flowers in the Attic: 40th Anniversary Edition,V.C. Andrews,"",9781451636949,digital,read,2013/02/22,2021/02/03,2021/02/03,1,"",,,,,,,3.0,,"",,"",Yes
Dark Angel,V.C. Andrews,"",0671525433,paperback,read,2013/10/07,"","",1,"",,,,,,,3.0,,"",,"",No
World War Z: An Oral History of the Zombie War,Max Brooks,"",9780307351937,digital,read,2013/03/26,2013/03/29,2013/03/29,5,"",,,,,,,4.0,,"",,"",Yes
Misery,Stephen King,"",9780670813643,hardcover,read,2011/04/09,"","",1,"",,,,,,,2.0,,"",,"",Yes
Chimera,Mira Grant,"",9780316381031,hardcover,read,2021/04/12,2021/04/13,2021/04/13,1,"",,,,,,,3.0,,"",,"",Yes
Cat & Mouse,James Patterson,"",9781478908258,audio,read,2011/06/25,"","",1,"",,,,,,,3.0,,"",,"",No
The Cardinal,Alison Weir,"",9780593974704,hardcover,read,2025/07/08,2025/07/09,2025/07/07-2025/07/09,1,"",,,,,,,,,"",,"",Yes
Elizabeth: The Struggle for the Throne,David Starkey,"",9780060959517,paperback,read,2011/04/10,"","",1,"",,,,,,,3.0,,"",,"",Yes
Firestarter,Stephen King,"",9780670315413,hardcover,read,2011/04/09,"","",2,"",,,,,,,4.0,,"",,"",Yes
Serial #7,Terry Moore,"",B09FS3ML7K,digital,read,2021/10/20,2021/10/20,2021/10/20,1,"",,,,,,,5.0,,"",,"",Yes
The Handmaid's Tale,Margaret Atwood,"",9780385490818,paperback,read,2011/04/10,"","",5,"",,,,,,,5.0,,"",,"",No
Island of the Blue Dolphins,Scott O'Dell,Ted Lewin (Illustrator),9780395536803,hardcover,read,2017/09/22,"","",1,"",,,,,,,,,"",,"",No
Royal Jelly: A Short Story from Roald Dahl's 'Kiss Kiss',Roald Dahl,"","",digital,read,2015/11/01,2015/11/01,2015/11/01,1,"",,,,,,,4.0,,"",,"",No
UnWholly,Neal Shusterman,"","",paperback,read,2023/10/19,2023/10/22,2023/10/22,1,"",,,,,,,5.0,,"",,"",Yes
The Walking Dead Vol. 4: The Heart's Desire,Robert Kirkman,"",9781582405308,paperback,read,2011/12/21,2011/12/20,2011/12/20,1,"",,,,,,,3.0,,"",,"",No
The Outsiders,S.E. Hinton,"",9780670532575,hardcover,read,2013/02/17,"","",1,"",,,,,,,3.0,,"",,"",No
To Kill a Mockingbird,Harper Lee,"",006017322X,hardcover,read,2025/03/10,"","",1,"",,,,,,,,,"",,"",Yes
Innocent Traitor: A Novel of Lady Jane Grey,Alison Weir,"","",digital,read,2011/04/10,"","",9,"",,,,,,,4.0,,"",,"",Yes
Feed,Mira Grant,"",9780316081054,paperback,read,2015/01/30,2015/01/31,2015/01/31,3,"",,,,,,,4.0,,"",,"",Yes
Harry Potter and the Goblet of Fire,J.K. Rowling,Jim Kay (Illustrator) (Illustrator),1408845679,hardcover,read,2011/06/16,"","",4,"",,,,,,,5.0,,"",,"",Yes
Rachel Rising Omnibus,Terry Moore,"","",paperback,read,2020/07/22,2020/07/23,2020/07/23,1,"",,,,,,,5.0,,"",,"",Yes
Unwholly,Neal Shusterman,"",9781442423664,hardcover,read,2023/10/19,2023/10/22,2023/10/22,1,"",,,,,,,5.0,,"",,"",Yes
The Worst-Case Scenario Survival Handbook,Joshua Piven,David Borgenicht,9780811825559,paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,H. T. Willetts (Translator),B00BMKMK3M,digital,read,2013/02/24,2013/02/24,2013/02/24,1,"",,,,,,,5.0,,"",,"",No
UnBound,Neal Shusterman,"",9781481457231,hardcover,read,2023/10/29,2023/10/29,2023/10/29,1,"",,,,,,,5.0,,"",,"",Yes
The Boys Omnibus Vol. 5,Garth Ennis,"","",digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
Honeymoon,James Patterson,Howard Roughan,9780316710626,hardcover,read,2011/04/09,"","",1,"",,,,,,,2.0,,"",,"",Yes
The Housemaid,Freida McFadden,"",9781538742570,paperback,read,2026/02/28,2026/03/01,2026/02/28-2026/03/01,1,"",,,,,,,,,"",,"",Yes
"The Walking Dead, Vol. 2: Miles Behind Us",Robert Kirkman,"Cliff Rathburn (Illustrator), Charlie Adlard (Illustrator)",9781582404134,paperback,read,2011/12/11,2011/12/08,2011/12/08,1,"",,,,,,,3.0,,"",,"",No
Parker Girls #10,Terry Moore,"","",digital,read,2023/09/12,2023/09/24,2023/09/24,1,"",,,,,,,4.0,,"",,"",No
The Day the Dead Came to Show and Tell,Mira Grant,"",9780316380980,digital,read,2015/03/11,2015/03/12,2015/03/12,3,"",,,,,,,4.0,,"",,"",Yes
No Exit and Three Other Plays,Jean-Paul Sartre,Stuart Gilbert (Translator),9780679725169,paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
The Woman Warrior: Memoirs of a Girlhood Among Ghosts,Maxine Hong Kingston,"",9780679721888,paperback,read,2013/10/07,"","",1,"",,,,,,,3.0,,"",,"",No
Scary Stories to Tell in the Dark: Three Books to Chill Your Bones: All 3 Scary Stories Books with the Original Art!,Alvin Schwartz,Stephen Gammell (Illustrator),9780062968975,hardcover,read,2020/07/23,"","",1,"",,,,,,,,,"",,"",Yes
"Tarnished Gold, Volume 5",V.C. Andrews,"",9780671873219,paperback,read,2013/10/07,"","",1,"",,,,,,,2.0,,"",,"",No
Queen Jezebel,Jean Plaidy,"",B004ISK550,digital,read,2017/07/20,2017/07/24,2017/07/24,2,"",,,,,,,3.0,,"",,"",Yes
Lord of the Flies,William Golding,"",9780140283334,paperback,read,2011/12/22,"","",1,"",,,,,,,4.0,,"",,"",Yes
The Martian Chronicles,Ray Bradbury,"",0553278223,paperback,read,2011/04/09,"","",6,"",,,,,,,4.0,,"",,"",Yes
Harry Potter and the Sorcerer's Stone,J.K. Rowling,"",0590353403,hardcover,read,2011/04/09,"","",4,"",,,,,,,5.0,,"",,"",Yes
Anne Boleyn,Alison Weir,"","",digital,read,2025/03/17,2025/03/25,2025/03/17-2025/03/25,2,"",,,,,,,,,"",,"",Yes
The Help,Kathryn Stockett,"",9780399155345,hardcover,read,2014/08/20,2025/05/23,"2025/05/22-2025/05/23, 2025/05/20-2025/05/21, 2016/10/20",3,"",,,,,,,5.0,,"",,"",Yes
4th of July,James Patterson,Maxine Paetro,9780446613361,paperback,read,2011/06/25,"","",1,"",,,,,,,2.0,,"",,"",No
The Prince,Niccolò Machiavelli,"Rufus Goodwin (Translator), Benjamin Martinez (Illustrator)",9780937832387,paperback,read,2013/02/16,"","",1,"",,,,,,,3.0,,"",,"",No
"Strangers in Paradise, Volume 10: Tropic Of Desire",Terry Moore,"",9781892597151,paperback,read,2011/04/10,2025/03/13,2025/03/13-2025/03/13,2,"",,,,,,,5.0,,"",,"",Yes
The Marriage Game,Alison Weir,"",9780345511911,hardcover,read,2021/07/02,2021/08/03,2021/08/03,2,"",,,,,,,4.0,,"",,"",Yes
Dragonfly in Amber,Diana Gabaldon,"",9780099294719,paperback,read,2022/02/05,2022/04/03,2022/04/03,1,"",,,,,,,5.0,,"",,"",Yes
Sharp Objects,Gillian Flynn,"",0307351483,digital,read,2015/10/17,2015/10/18,2015/10/18,1,"",,,,,,,3.0,,"",,"",No
Beowulf,Unknown,Seamus Heaney (Translator),9780393320978,paperback,read,2013/02/17,"","",1,"",,,,,,,3.0,,"",,"",Yes
Serial #4,Terry Moore,"","",digital,read,2021/07/07,2021/06/07,2021/06/07,1,"",,,,,,,5.0,,"",,"",Yes
The Woman Who Walked Into Doors,Roddy Doyle,"",9780140255126,paperback,read,2011/04/09,"","",1,"",,,,,,,2.0,,"",,"",Yes
The Power,Naomi Alderman,"",9780316547611,hardcover,read,2020/01/19,2020/10/07,2020/10/07,1,"",,,,,,,5.0,,"",,"",Yes
Knit Scarves!: 16 Cool Patterns to Keep You Warm,Candi Jensen,"",9781580175777,hardcover,read,2011/04/09,"","",1,"",,,,,,,4.0,,"",,"",Yes
Y The Last Man Book One,Brian K. Vaughan,"",9781401255619,digital,read,2021/09/02,2021/09/03,2021/09/03,2,"",,,,,,,4.0,,"",,"",Yes
Their Eyes Were Watching God,Zora Neale Hurston,"",9780060931414,paperback,read,2011/04/09,"","",1,"",,,,,,,4.0,,"",,"",Yes
Katherine of Aragon: The True Queen,Alison Weir,"",9781101966488,hardcover,read,2017/01/01,2017/01/03,2017/01/03,5,"",,,,,,,4.0,,"",,"",Yes
Eleanor of Aquitaine: A Life,Alison Weir,"",9780345405401,hardcover,read,2011/07/27,2012/03/30,2012/03/30,1,"",,,,,,,5.0,,"",,"",Yes
The Other Boleyn Girl,Philippa Gregory,"",9780743233088,digital,read,2011/04/12,2025/04/22,"2025/04/15-2025/04/22, 2025/04/15-",15,"",,,,,,,3.0,,"",,"",Yes
"Brownie Mary's marijuana cookbook, Dennis Peron's recipe for social change",Mary Rathbun,"",9780963989208,,read,2017/09/21,"","",1,"",,,,,,,,,"",,"",Yes
A Handful of Dust,Evelyn Waugh,"",9780316926140,paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
"Y: The Last Man, Book Three",Brian K. Vaughan,"Pia Guerra (Illustrator), Brian K. Vaughan (Illustrator)",9781401262419,digital,read,2021/09/04,2021/09/05,2021/09/05,1,"",,,,,,,5.0,,"",,"",No
Dolores Claiborne,Stephen King,Dominique Dill (Translator),9782266047425,paperback,read,2013/10/07,"","",1,"",,,,,,,2.0,,"",,"",No
Reviving Ophelia: Saving the Selves of Adolescent Girls,Mary Pipher,"",9780345392824,paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
Garden of Shadows,V.C. Andrews,"",9780006175490,paperback,read,2013/10/07,2025/09/10,"2025/09/08-2025/09/10, 2020/09/02",3,"",,,,,,,3.0,,"",,"",No
Ever,Terry Moore,"","",hardcover,read,2021/01/29,2021/01/30,2021/01/30,1,"",,,,,,,2.0,,"",,"",Yes
Where the Wild Things Are,Maurice Sendak,Maurice Sendak (Illustrator),9780099408390,paperback,read,2020/01/19,"","",1,"",,,,,,,,,"",,"",No
Confessions of a Shopaholic,Sophie Kinsella,"",9780440241416,paperback,read,2013/02/22,"","",1,"",,,,,,,3.0,,"",,"",No
To Hold the Crown: The Story of King Henry VII and Elizabeth of York,Jean Plaidy,"",9780307346193,paperback,read,2011/11/09,2011/11/11,2011/11/11,1,"",,,,,,,1.0,wow.  I loved jean plaidy when i read madonna of the seven hills and light on lucrezia but this one was not up to that standard.  I felt like it was a very boring take on a very interesting period of tudor history.,"",,"",Yes
The Prince,Niccolò Machiavelli,Tim Parks (Translator),9780141395876,hardcover,read,2017/09/21,"","",1,"",,,,,,,,,"",,"",Yes
Needful Things,Stephen King,"",9781101138168,digital,read,2025/03/17,2025/12/15,"2025/12/11-2025/12/15, 2025/12/11-",2,"",,,,,,,,,"",,"",Yes
1st to Die,James Patterson,"",9780446696616,paperback,read,2017/09/21,"","",1,"",,,,,,,,,"",,"",No
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,"",9780060759957,paperback,read,2011/04/09,"","",2,"",,,,,,,3.0,,"",,"",Yes
Little Women,Louisa May Alcott,"",9780141192413,hardcover,read,2017/09/21,"","",1,"",,,,,,,,,"",,"",Yes
"Strangers in Paradise, Volume 5: Immortal Enemies",Terry Moore,"",,digital,read,2011/04/10,2025/03/13,2025/03/13-2025/03/13,2,"",,,,,,,5.0,,"",,"",Yes
Romeo and Juliet,William Shakespeare,"",9780743477116,paperback,read,2011/12/22,"","",1,"",,,,,,,3.0,,"",,"",No
The Complete Maus: A Survivor's Tale,Art Spiegelman,"",9780679406419,hardcover,read,2025/02/14,2025/02/15,2025/02/14-2025/02/15,1,"",,,,,,,,,"",,"",Yes
Katharine of Aragon,Jean Plaidy,"",9780609810255,paperback,read,2011/08/24,2011/08/24,2011/08/24,1,"",,,,,,,2.0,,"",,"",No
Bring Up the Bodies,Hilary Mantel,"",9781429947657,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
Song of Solomon,Toni Morrison,"",140003342X,paperback,read,2013/02/17,"","",1,"",,,,,,,2.0,,"",,"",No
The Red Badge of Courage,Stephen Crane,"",9780780712140,,read,2020/01/19,"","",1,"",,,,,,,,,"",,"",No
Rich People Problems,Kevin Kwan,"",9780385542241,digital,read,2018/04/26,2018/04/28,2018/04/28,1,"",,,,,,,4.0,,"",,"",Yes
2nd Chance,James Patterson,Andrew Gross,9780446612791,paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",No
The Grapes of Wrath,John Steinbeck,"",9780140042399,paperback,read,2011/04/09,"","",1,"",,,,,,,4.0,,"",,"",Yes
The Chosen,Chaim Potok,"",9780449213445,paperback,read,2013/10/07,"","",1,"",,,,,,,4.0,,"",,"",Yes
The Circle,Dave Eggers,"",9780385351409,digital,read,2016/12/06,2017/02/11,2017/02/11,3,"",,,,,,,5.0,,"",,"",Yes
