Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Confessions of Catherine de Medici,C.W. Gortner,"",9780345501868,hardcover,read,2012/09/13,2014/02/12,2014/02/12,7,"",,,,,,,4.0,,"",,"",Yes
The Valley of Horses,Jean M. Auel,"",B00466HQ06,digital,read,2011/06/27,"","",4,"",,,,,,,4.0,,"",,"",Yes
"I, Alex Cross",James Patterson,"",0099514591,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
7th Heaven,"Maxine Paetro, James Patterson","",9780316134934,digital,read,2011/06/25,"","",1,"",,,,,,,2.0,,"",,"",Yes
Insurgent,Veronica Roth,"",9780062114457,digital,read,2013/07/28,2013/08/01,2013/08/01,2,"",,,,,,,2.0,,"",,"",Yes
Royal Mistress,Anne Easter Smith,"",B00I1H894I,digital,read,2021/02/11,2021/02/14,2021/02/14,1,"",,,,,,,4.0,,"",,"",Yes
The Boys Omnibus Vol. 3,Garth Ennis,"","",digital,read,2020/09/26,2020/09/27,2020/09/27,3,"",,,,,,,5.0,,"",,"",Yes
Serial #5,Terry Moore,"",B0977X7STS,digital,read,2021/07/07,2021/07/07,2021/07/07,1,"",,,,,,,5.0,,"",,comics,Yes
"Strangers in Paradise, Volume 12: Heart In Hand",Terry Moore,"",,digital,read,2011/04/10,2025/03/14,2025/03/14-2025/03/14,1,"",,,,,,,5.0,,"",,"",No
Revival,Stephen King,"",9781476770406,digital,read,2018/02/17,2018/02/19,2018/02/19,1,"",,,,,,,4.0,,"",,"",Yes
The Runaway Jury,John Grisham,"",9780385339698,paperback,read,2012/01/20,2013/02/27,2013/02/27,1,"",,,,,,,2.0,,"",,"",Yes
The Last of Us: American Dreams,Neil Druckmann,"Faith Erin Hicks, Rachelle Rosenberg",9781616552121,paperback,read,2023/02/17,2023/02/17,2023/02/17,1,"",,,,,,,5.0,,"",,"",No
Y: The Last Man Book Four,Brian K. Vaughan,"",9781401261689,paperback,read,2021/09/05,2021/09/05,2021/09/05,1,"",,,,,,,5.0,,"",,"",Yes
Twilight,Stephenie Meyer,"",9780316015844,paperback,read,2011/04/09,"","",1,"",,,,,,,2.0,,"",,"",No
No Exit and Three Other Plays,Jean-Paul Sartre,"",9780780758407,,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",No
Much Ado About Nothing,William Shakespeare,"",9798684050916,paperback,read,2013/02/22,"","",1,"",,,,,,,4.0,,"",,"",No
The Shining,Stephen King,"",9780385528863,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
Five Years Vol. 1: Fire In The Sky,Terry Moore,"",,digital,read,2020/07/15,2020/07/15,2020/07/15,1,"",,,,,,,5.0,,"",,"",No
Tess of the D'Urbervilles: Authoritative Text,Scott Elledge,"",0393959031,paperback,read,2025/03/18,"","",1,"",,,,,,,,,"",,"",Yes
Oddball,Sarah Andersen,"",9781449489793,paperback,read,2021/10/05,2021/12/09,2021/12/09,1,"",,,,,,,5.0,,"",,"",Yes
The End of the Rainbow,V.C. Andrews,"",9780671039851,paperback,read,2013/10/07,"","",1,"",,,,,,,2.0,,"",,"",No
Three Plays: An Enemy of the People / The Wild Duck / Rosmersholm,Henrik Ibsen,James McFarlane,9780192839435,paperback,read,2011/04/09,"","",1,"",,,,,,,4.0,,"",,"",Yes
Nanny Returns,Emma McLaughlin,Nicola Kraus,9781416585893,digital,read,2013/02/11,2013/02/25,2013/02/25,3,"",,,,,,,4.0,,"",,"",Yes
Maus II: A Survivor's Tale: And Here My Troubles Began,Art Spiegelman,"",9780394556550,hardcover,read,2020/01/20,"","",2,"",,,,,,,5.0,,"",,"",Yes
By James Patterson The 8th Confession,"James Patterson, James Patterson","",,,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
The Sound and the Fury ,William Faulkner,"",0679732241,paperback,read,2011/04/09,"","",1,"",,,,,,,4.0,,"",,"",Yes
"Strangers in Paradise, Volume 4: Love Me Tender",Terry Moore,"",,digital,read,2011/04/10,2025/03/13,2025/03/13-2025/03/13,2,"",,,,,,,5.0,,"",,"",Yes
The Taming of the Queen,Philippa Gregory,"","",paperback,read,2017/01/31,2025/06/01,"2025/05/27-2025/06/01, 2017/02/02",5,"",,,,,,,4.0,,"",,"",Yes
The Mangler,Stephen King,"",,digital,read,2022/04/11,2022/04/12,2022/04/12,1,"",,,,,,,5.0,,"",,"",No
Parasite,Mira Grant,"",9780316218924,paperback,read,2021/04/02,2021/04/05,2021/04/05,1,"",,,,,,,4.0,,"",,"",No
I Know This Much Is True,Wally Lamb,"",9780060987565,paperback,read,2013/02/22,"","",1,"",,,,,,,2.0,,"",,"",No
Symbiont,Mira Grant,"",9780316219006,digital,read,2021/04/05,2021/04/09,2021/04/09,1,"",,,,,,,3.0,,"",,"",No
The Girl on the Train,Paula Hawkins,"",9780698185395,digital,read,2016/09/08,2016/09/09,2016/09/09,1,"",,,,,,,5.0,,"",,"",Yes
The Eyes of the Dragon,Stephen King,"",9781101138076,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
Tuck Everlasting,Natalie Babbitt,"",9780374480097,paperback,read,2013/02/22,"","",1,"",,,,,,,,,"",,"",No
Echo: The Complete Edition,Terry Moore,"",9781892597489,paperback,read,2020/07/10,2020/07/22,2020/07/22,1,"",,,,,,,4.0,,"",,"",Yes
Romeo and Juliet,William Shakespeare,"",9798643750321,paperback,read,2011/12/22,"","",1,"",,,,,,,3.0,,"",,"",No
Jane Seymour: The Haunted Queen,Alison Weir,"",9781101966549,hardcover,read,2018/04/23,2018/05/20,2018/05/20,6,"",,,,,,,5.0,,"",,"",Yes
Sandcastle,Pierre Oscar Lévy,Frederik Peeters (Illustrator),"",digital,read,2021/07/22,2021/07/22,2021/07/22,1,"",,,,,,,4.0,,"",,"",Yes
"Strangers in Paradise, Volume 8: My Other Life",Terry Moore,"",,digital,read,2011/04/10,2025/03/13,2025/03/13-2025/03/13,2,"",,,,,,,5.0,,"",,"",Yes
Bring Up the Bodies,Hilary Mantel,"",9780805090031,hardcover,read,2025/03/03,"","",1,"",,,,,,,,,"",,"",Yes
The Scarlet Letter,Nathaniel Hawthorne,"",9780486280486,paperback,read,2017/09/22,"","",1,"",,,,,,,,,"",,"",No
Beach Road,James Patterson,Peter de Jonge,9780316159784,hardcover,read,2011/04/09,"","",1,"",,,,,,,1.0,,"",,"",Yes
